Common_name,Species,location,date_first record,first record source
DUCKS DIVER,CM,MANGROVE BAY,3/26/2024,Nadja Dobler
DUYGU,CM,MARSA SHOUNA,1/8/2025,DOREen Hofmann
EATON,CM,MARSA ABU DABBAB,24/12/2022,Helene Louise Knudsen
EDDIE,EI,Canyon,17-02-2019,Adib Gendy
EDUARD,CM,Marsa Mubarak,24-05-2016,Ivana Zimova - FB
Egunk1,CM,Egla,9/14/2013,Mara Cavola - MM
Egunk2,CM,"Abu Dabbab, Egla",5/12/2012,Michaela Sladkova - FB
Egunk4,CM,Egla,9/14/2013,Mara Cavola - MM
Egunk5,CM,Egla,9/20/2013,Mara Cavola - MM
EGUNK6,CM,Egla,11-04-2018,MIcol M
EGUNK7,CM,Egla,12-07-2018,Micol M
EGUNK9,CM,Egla,31-08-2018,AbDAllah Taher - MM
EIRENE,CM,TONDOBA,6/11/2020,SIMONETTA ZANDIRI
ELA,EI,Sharm el Arab,12-05-2018,GianmatteoColombo - IDive
ELEGANTE,EI,ARTA BAY,12/2/2024,Emilio Mancuso
ELENA,EI,SHAB SAMADAI,20-08-2021,Silvia Bodei
ELETTRA,EI,FANTAZIA HOUSE REEF,29-05-2019,NicolaBalboni
elgoDT1EI ,EI,El Gouna,12-2018,AdamLeeSchwartzentruber
ELINA,CM,MANGROVE BAY,6/20/2023,Nadja Dobler
ELPH1 EI,EI,Elphinstone,03-01-2018,Mariska van der Paauw - MM
ELPH2 EI,EI,Elphinstone,06-01-2018,Mariska van der Paauw - MM
ELSA,EI,Fayrouz,21-10-2020,BEAT RIMANN
EMIL,CM,EL KHORAFI,3/5/2023,Doreen Hofmann
Emma,CM,Abu Dabbab,11/13/2005,HEPCA catalogue 2012
EMMI,EI,"MARSA ABU DABBAB, HAPPY LIFE HOUSE REEF",9/17/2023,Olga Candela
EMRYS,EI,El Fanous East,05-05-2019,Shelley Palmer
ENEA,CM,"Asalaya, Egla",01-05-2017,Oliver Knöpken
EQUINOX,CM,Hermes ,12/5/2017,Micol M
ERICA,EI,Wadi Lahami,20-01-2019,Alessandro Ferlazzo Ciano
EROS,CM,Marsa Mubarak,10-03-2012,Benny Van Laere - EXTRA DIVERS
ERZA,CM,MARSA EGLA,08-08-2021,ANNA FASANI
ESRAA,CM,MARSA SAMADAI,16/11/2024,Stefy & Simonetta
ET,CM,Lahami Bay,14-07-2018,SABINA M. HORN - Sahra El Gohary - Mohamed El Gohary
EVAN,EI,GAbel Rosas,26-06-2021,Joyce Kruijer
EVE-DAISY,CM,MARSA SHONA,23-06-2018,Natalie Thomas - Emperor Divers
EVELIEN,EI,Erg Malik,14-03-2010,Benny Van Laere - EXTRA DIVERS
EVELINE,CM,MARSA ABU DABBAB,6/22/2021,Elke Bojanowski
Evy,CM,Marsa Shagra,20-04-2012,HEPCA catalogue 2012
EZZIE,CM,SHARK YOLANDA,9/24/2023,Kaden Elsey
FA,CM,HERMES,3/22/2022,RUUD VAN DEN BERG
FAHD,CM,TONDOBA,24/11/2018,SIMONETTA ZANDIRI
FAITH,CM,HERMES,7/2/2022,Mariska van der Paauw - MM
FAIZA,CM,MARSA SHONA,5/12/2018,Erwin Koops
Famé,CM,Brayka - Marsa Asalaya - Gabel Rosas - Marsa Egla,01-05-2017,Youssef Fam and Maged Fam
